Site Code,x,y,Site Codes,Site Forest Type,EEON plots,EEON plot code
EF3,47.06872,-122.985175,EE,Evergreen Edge,EF1,EEON Plot D7
EF2,47.071191,-122.982227,EF,Evergreen Forest,EF2,EEON Plot C7
EF1,47.071052,-122.97913,MO,McClane Open,EF3,EEON Plot B8
EE1,47.068617,-122.978079,MF,McClane Forest,,
EE2,47.068601,-122.977622,,,,
EE3,47.068625,-122.9774,,,,
MF1,47.002194,-122.999772,,,,
MF2,47.002604,-122.998891,,,,
MF3,47.002891,-122.99861,,,,
MO1,47.004551,-122.996797,,,,
MO2,47.004418,-122.997724,,,,
MO3,47.004575,-122.998291,,,,
