Location ,site Code,canopy.type,leaf.number,leaflet.number,leaflet ID,leaf.color,leaf thickness (mm),leaf.length.cm,Area (in^2),Area (cm^2),Area *m^2),Mass(g),Mass(kg),Red Mean,Green Mean,Red - Green,LMA(g/m^2),date,hhmmss,E,A,gsw,Qin (Simulated PAR),Qin (Simulated PAR) Rounded,Reading ID,Log A,Site Codes,Site Forest Type,EEON plots,EEON plot code,Site Code,x,y
Evergreen,EE1,Edge,1,10,1_10,G,0.27,47.2,3.79,24.451564,0.002445156,0.3119,0.0003119,60.77,75.189,-14.419,127.5583026,20260415 12:43:54,12:43:54,-9.53E-05,0.405363321,-0.007648308,200.0010968,200,1,0.340295861,EE,Evergreen Edge,EF1,EEON Plot D7,EF3,47.06872,-122.985175
Evergreen,EE1,Edge,1,10,1_10,G,0.27,47.2,3.79,24.451564,0.002445156,0.3119,0.0003119,60.77,75.189,-14.419,127.5583026,20260415 12:44:56,12:44:56,-7.17E-05,0.340093341,-0.005580471,500.005619,500,2,0.292739269,EF,Evergreen Forest,EF2,EEON Plot C7,EF2,47.071191,-122.982227
Evergreen,EE1,Edge,1,10,1_10,G,0.27,47.2,3.79,24.451564,0.002445156,0.3119,0.0003119,60.77,75.189,-14.419,127.5583026,20260415 12:46:06,12:46:06,-8.44E-05,0.786276126,-0.00623446,1000.005467,1000,3,0.580133076,MO,McClane Open,EF3,EEON Plot B8,EF1,47.071052,-122.97913
Evergreen,EE1,Edge,1,10,1_10,G,0.27,47.2,3.79,24.451564,0.002445156,0.3119,0.0003119,60.77,75.189,-14.419,127.5583026,20260415 12:49:46,12:47:31,8.41E-05,0.781464538,0.00549479,1499.972581,1500,4,0.5774358,MF,McClane Forest,,,EE1,47.068617,-122.978079
Evergreen,EE1,Edge,1,14,1_14,G,0.22,47.2,2.524,16.2838384,0.001628384,0.2095,0.0002095,67.824,82,-14.176,128.6551701,20260415 12:50:57,12:49:46,1.76E-05,0.97291491,0.001300442,199.9999032,200,5,0.679512099,,,,,EE2,47.068601,-122.977622
Evergreen,EE1,Edge,1,14,1_14,G,0.22,47.2,2.524,16.2838384,0.001628384,0.2095,0.0002095,67.824,82,-14.176,128.6551701,20260415 12:52:17,12:50:57,0.000113275,0.731054804,0.007947743,499.9788387,500,6,0.548730936,,,,,EE3,47.068625,-122.9774
Evergreen,EE1,Edge,1,14,1_14,G,0.22,47.2,2.524,16.2838384,0.001628384,0.2095,0.0002095,67.824,82,-14.176,128.6551701,20260415 12:53:34,12:52:17,0.00011317,0.695820246,0.007392454,999.9843548,1000,7,0.528166545,,,,,MF1,47.002194,-122.999772
Evergreen,EE1,Edge,1,14,1_14,G,0.22,47.2,2.524,16.2838384,0.001628384,0.2095,0.0002095,67.824,82,-14.176,128.6551701,20260415 12:55:59,12:53:34,6.48E-05,0.631585411,0.00408747,1499.996,1500,8,0.489552187,,,,,MF2,47.002604,-122.998891
Evergreen,EE1,Edge,1,15,1_15,G,0.21,47.2,3.318,21.4064088,0.002140641,0.1093,0.0001093,66.803,80.818,-14.015,51.05947524,20260415 12:57:38,12:55:59,9.49E-05,1.454748624,0.007027431,200.017,200,9,0.898024363,,,,,MF3,47.002891,-122.99861
Evergreen,EE1,Edge,1,15,1_15,G,0.21,47.2,3.318,21.4064088,0.002140641,0.1093,0.0001093,66.803,80.818,-14.015,51.05947524,20260415 12:58:49,12:57:38,0.000143146,1.432900068,0.010402024,500.0025806,500,10,0.889083989,,,,,MO1,47.004551,-122.996797
